Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Australia,AUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,19.55822952,18.30708028,19.40527969,22.16818316,20.73795623,19.06704174,17.17178852,18.23453984,19.86707431,20.19720955,20.15701101,23.01363477,19.79928176,21.43741941,21.49934408,19.98570776,21.09637388,20.068071,19.27225801,21.23118349,21.87340412,24.15153911,24.00828302,22.07516851,25.81216266
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.41558196,9.827174515,10.98637523,11.57900808,28.382597,25.93094293,23.84761942,23.24587673,23.0266946,22.66275031,22.06090038,19.56098506,18.93382341,18.44920915,16.23785946,14.61717339,14.40547859,10.70565205,12.52709517,11.32028336,14.43668575,17.92487838,16.6108724,18.03422899,16.77803682
Austria,AUT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,38.35102119,39.35703789,43.34627395,44.61755552,45.3193862,44.57041472,46.86721497,48.6197522,50.84166886,52.56086942,53.24886062,45.20741656,51.26216033,53.94867085,53.9736762,53.4412933,53.38657905,53.08906056,52.40639365,54.05115314,55.46221912,55.75720636,51.61281493,55.90030862,60.78912067
Belgium,BEL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,64.17434502,64.56305952,72.54739516,71.61195892,70.8312977,69.03650851,70.90627745,74.28282892,76.80499706,78.3018047,80.88061998,68.83400371,75.85006448,80.69736291,80.40449051,79.3243484,79.80100907,77.80528215,79.42961547,83.18241025,83.07962947,82.39719928,79.44654886,86.8267422,95.32847204
Bolivia,BOL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,19.69868489,16.88089935,18.27474497,19.97214923,21.63445508,25.60073445,31.13839052,35.54814293,41.77171427,41.79565675,44.90655599,35.72262483,41.18745614,44.09170185,47.16619662,44.09247953,43.29308799,30.86829603,24.48800554,24.90414437,25.98879506,24.96726228,20.27258979,27.82390202,
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,7.030500339,9.564898261,10.188048,12.37171067,14.23059027,15.18078371,16.54576151,15.24382927,14.3743163,13.3276751,13.53400051,10.85137113,10.86558477,11.58251268,11.87753907,11.74223064,11.01194282,12.90019142,12.46667904,12.51896787,14.6349995,14.12291919,16.453552,19.56167634,20.04553801
Bulgaria,BGR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,41.94134566,42.7497878,36.21885676,34.88131742,33.64730372,34.41694588,40.95664027,42.52956575,46.97787863,52.35503435,52.47765905,42.21885009,50.10763622,58.80294825,60.35373924,64.58169578,64.60088717,63.8000874,63.87048055,66.99459564,65.69585291,63.93391746,56.12090076,61.32618308,68.54349484
Canada,CAN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,40.02917476,41.861185,44.20923582,42.03995509,40.05865859,36.8659852,37.32777131,36.85670732,35.40245922,34.22955516,34.39500555,28.51583432,29.16738193,30.67839192,30.35302552,30.33193867,31.73657587,31.84996096,31.50257241,31.45441015,32.32540373,32.35269582,29.68084533,30.91398771,33.71848743
Chile,CHL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,25.14358142,28.30911389,30.12375388,31.84731127,32.25722035,35.06097453,39.68574951,40.17557201,43.8656742,45.1298519,41.16256079,37.1156348,37.90399432,37.68978027,33.8455905,32.08746359,33.00390297,29.19107949,27.92315811,28.33137683,28.52904474,27.8432682,31.30376959,31.97966769,35.67072536
China,CHN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,18.34210003,18.16247676,20.8936972,20.31214574,22.64474567,26.98075653,31.06133758,33.82985757,36.03502555,35.43479853,32.60271402,24.74985594,27.18533272,26.56818935,25.49252222,24.59925444,23.51006091,21.35407988,19.58438005,19.69227699,19.11210354,18.40999232,18.58613924,19.94397346,20.67700251
Costa Rica,CRI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,43.96284105,42.55786577,42.93032218,40.5085725,39.22453521,40.67171292,42.20765346,43.46452236,43.31403511,40.58213751,38.80646065,34.63230503,32.82941135,32.47247088,31.65131734,30.59164936,31.36291528,29.99565786,31.2600963,32.76268315,33.73851078,34.32532156,31.90649766,36.76877246,41.16154693
Croatia,HRV,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.14208497,30.14516385,35.02451054,37.10901731,35.84980862,35.54302406,36.53040279,36.36933125,37.56033419,37.53376673,36.05052609,32.289909,35.65979038,38.22310255,38.93304839,39.75933299,42.68871122,45.67535453,46.86398889,49.11079147,49.39294496,50.59453845,41.48201452,51.27800613,60.64750311
Cyprus,CYP,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,68.69748906,66.92645712,69.96284373,68.20886702,62.40531203,57.76214593,56.88979898,55.69211026,53.43572738,53.25889801,50.08160098,48.72214083,50.33452585,53.45408858,55.27838094,61.29659043,65.95170487,70.01730313,70.48405223,73.83648406,74.96730233,76.49313137,81.38877749,86.61696238,91.52126903
Czechia,CZE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,42.05151199,42.76033152,48.09098982,48.85651186,45.0041286,46.72804779,57.05783989,61.81322686,64.87542344,66.10076919,62.95164809,58.34542981,65.54300541,70.82186719,75.64618657,76.05838162,81.95427457,80.55877811,79.10707663,79.0271395,76.94357596,73.87978033,69.94877154,72.7282341,74.83928495
Denmark,DNK,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,37.18656052,39.34843668,44.84726556,45.55449395,45.70447919,43.83840887,43.92843496,47.45212552,50.73004702,51.48253505,54.17579741,47.12607346,50.52292764,53.82014893,54.63049402,54.82881899,54.61313944,55.4181744,53.42598052,55.07737678,56.55980449,58.64718222,54.92962126,59.65853968,69.3139816
Ecuador,ECU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,17.89195087,26.37754164,32.12753529,23.22274709,21.49237389,22.59840005,24.5543486,27.6181741,30.33307477,31.93176797,34.16363955,25.24910794,27.89495597,31.1211998,30.16480927,28.6382883,28.05185415,21.25822138,19.50479127,20.83281789,22.60468399,23.0483673,21.8579266,26.18836454,29.17187993
Estonia,EST,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,73.6343458,69.86610792,61.62739432,61.25196416,57.95587901,57.1622883,61.07933564,65.43502006,63.26676459,62.59857277,66.39225243,60.8643762,75.04931619,86.60379142,86.20779227,84.5681702,81.86543288,77.43549844,77.00753774,75.8098541,74.32389785,73.88468641,69.27386299,78.29665167,85.50182238
France,FRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,26.12649198,26.07653539,28.59497425,28.2658952,27.53105026,26.11196897,26.46883632,27.03305104,27.93505509,27.85325751,28.11938486,24.83554721,26.78829984,28.42133748,29.20302719,29.36473787,29.6666845,30.59262238,30.24753718,30.94863319,31.71366721,31.59205541,27.45022764,29.44875183,34.01277399
Finland,FIN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,37.43878347,37.60439976,42.03104616,39.76408441,39.13500263,37.32083902,38.61537686,40.27336705,43.07420025,43.8259066,44.90000772,36.08092568,38.41439756,38.90039293,38.80827907,38.01762912,36.48143762,35.40695887,34.81045247,37.54954684,38.46878721,39.8806794,35.78756333,39.55162534,44.89142377
Germany,DEU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,26.40690621,26.95923243,30.84771157,31.84470712,32.59257911,32.81171295,35.71336386,38.05957235,41.43290791,43.3227581,43.79919026,38.11990694,42.56547341,45.05713628,46.30712014,45.41867786,45.61926331,46.92073836,46.07326285,47.16304068,47.30885914,46.66961299,43.01312903,47.03055459,50.33785444
Greece,GRC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,16.29658373,19.25607888,23.71838095,22.78874392,20.11285473,18.54458287,20.70811469,21.31223061,21.17400899,22.52026973,23.36156903,18.98218682,21.79810215,25.48977484,28.74257947,30.20720698,32.48559818,32.12716124,31.28745626,35.03409423,38.9929061,40.10993262,31.98844917,40.87400305,48.73718212
Hungary,HUN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,52.93018609,55.64365546,66.85788978,64.87732081,58.13697358,56.34434816,59.56225892,62.51519476,73.78058836,77.81956482,79.18091868,74.22425347,81.10730424,86.07769684,85.87940096,85.41082251,87.12346676,87.52645093,86.40473829,85.91956406,83.75531586,81.52974061,78.70603335,80.25323803,90.3778374
India,IND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,11.01846918,11.45206461,12.99723631,12.55837963,14.26438392,14.94791386,17.85912496,19.60524669,21.26794142,20.79969975,24.09735726,20.40051937,22.40093325,24.54041132,24.53443066,25.4308613,22.96796301,19.81318916,19.15823491,18.79176484,19.9278286,18.6642649,18.70524736,21.5143886,22.44943776
Indonesia,IDN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,52.96813457,35.51412908,40.97730847,39.0321391,32.68762089,30.47765478,32.21669462,34.06726763,31.03471631,29.43571849,29.80828417,24.15911967,24.29903094,26.32735309,24.59437879,23.92357638,23.6659846,21.16017926,19.08899385,20.17730444,21.0027465,18.5915278,17.33116828,21.40812311,24.49244937
Ireland,IRL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,84.32407634,86.46010384,94.38945778,95.22438247,90.44947711,80.8405916,80.47558008,79.52769639,79.03467626,80.83679518,84.33328243,93.55616889,103.2429349,103.2562025,104.4167329,104.0085182,110.1216357,122.09624,121.6955686,121.0168834,122.7847151,127.8796462,133.3372023,134.4147927,136.9510937
Italy,ITA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,24.06295229,23.20074169,25.6277321,25.64901167,24.40746734,23.30219291,24.00982842,24.60109238,26.17348843,27.36104225,26.86277469,22.39916173,25.07404985,26.87246347,28.37924284,28.63324308,29.10882819,29.71598237,29.32789075,30.73373332,31.3535542,31.60241973,29.43617352,32.69340172,37.14961436
Israel,ISR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,27.60574881,31.61523016,34.60434617,30.40029765,31.85183258,33.48975885,37.86376756,39.51148435,39.63330767,39.3715408,37.76899338,32.54196822,34.15857617,34.75932583,35.3135369,33.23677544,31.87348912,31.17124903,29.95495989,29.24225587,29.8939141,29.29847865,27.67568548,29.45899334,31.91082682
Japan,JPN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.3738061,9.805539002,10.4634942,10.07679996,10.85544561,11.46580158,12.78626462,13.81589572,15.65737405,17.28912737,17.23554338,12.41956575,14.91850345,14.77446226,14.41477461,15.78415673,17.41865535,17.43675984,16.05796924,17.5914391,18.3149456,17.46352643,15.5494225,18.20157767,
Jamaica,JAM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,38.43298918,39.03660709,38.7900457,35.56415707,32.76195131,36.61346899,37.54402476,35.27323512,40.13152526,39.72869092,41.94330709,34.47959621,31.33526663,30.3686139,30.18371146,30.57588318,31.2546047,29.92166548,31.81343755,34.65706257,38.56384829,38.03608075,24.08513876,27.5344761,27.97065216
Jordan,JOR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,44.79510499,43.31078518,41.82739594,42.13429294,47.42125405,47.37227994,52.18949684,52.70458008,53.87432789,54.23491299,56.05049657,45.07547171,46.99714264,46.55057763,45.22598541,41.29560357,42.13390771,36.54443702,34.39521007,34.70653187,35.12775864,36.67104733,,,
"Korea, Rep.",KOR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,39.5366811,32.59082294,33.93916896,31.78774105,29.77275441,31.39783726,36.75433645,35.2830828,35.62641862,37.39217969,47.64188521,45.18535191,47.10373691,53.3377319,54.09405134,51.29207111,47.83142087,42.98956153,40.13265091,40.93420694,41.71329084,39.27586107,36.35959055,42.03549524,48.25652274
Latvia,LVA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,39.23644831,35.02837405,36.78486829,38.00074341,36.53957448,36.04647531,38.91233475,42.96984105,39.74524039,38.26159157,39.25750458,42.21403486,53.25837932,59.77989095,61.44375311,60.39517324,61.15472821,60.27538277,59.60708239,61.58943936,61.45894175,59.81407914,59.89934325,63.67516992,70.3412088
