Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,43036.32342,44677.89465,45892.61037,46232.03825,47534.54521,48453.0138,49959.07241,50911.13414,51605.3146,52586.40939,53382.31006,53271.59019,53606.58144,54131.10471,55269.91928,55727.73415,56318.63598,56708.9612,57354.54981,57701.52385,58479.50355,58868.48063,58115.93067,59339.68435,60797.95865
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11391.94516,10880.20621,10672.72204,10090.65344,8895.319642,9581.969792,10341.64341,11141.31067,11913.95853,12857.09258,13246.63489,12336.86194,13551.33919,14200.26989,13895.63371,14071.50868,13567.94842,13789.06042,13360.21183,13595.03736,13105.39716,12716.2242,11341.26837,12402.49079,12932.46953
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,36442.28823,37664.94328,38842.89052,39184.8086,39636.48261,39815.22195,40651.22662,41281.27076,42496.35105,43937.71289,44440.05589,42655.19213,43334.50896,44451.00019,44549.8817,44299.37818,44245.16874,44195.81759,44590.25163,45281.7234,46154.6251,46647.08096,43455.70007,45238.39071,47043.34323
Belgium,BEL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,33376.57484,34479.90645,35674.79125,35943.23796,36393.24177,36617.38038,37761.28132,38426.05191,39147.76356,40290.22776,40151.84987,39025.22079,39777.92528,39929.09514,39975.57364,39970.3175,40421.42079,41008.29672,41318.01964,41825.76283,42382.31828,43107.21482,40620.10422,42971.05804,44075.86144
Bolivia,BOL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2031.972206,2003.861308,2017.394609,2015.377479,2029.617944,2048.559818,2097.258353,2152.36197,2216.544709,2277.503826,2376.078089,2414.129945,2471.473633,2556.830269,2643.690816,2777.720532,2882.806896,2975.648811,3054.892548,3135.031646,3219.200892,3242.948845,2920.197447,3061.738613,3118.396396
Brazil,BRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6613.98242,6551.225917,6745.856994,6749.880827,6868.695117,6865.172461,7178.346659,7325.902707,7534.541633,7909.824337,8231.099426,8142.760111,8673.897385,8935.276286,9025.312958,9216.131219,9183.45867,8783.214413,8426.842251,8470.939629,8553.864918,8592.210218,8255.567064,8621.73059,8831.126713
Bulgaria,BGR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3843.201809,3540.316265,3721.05138,3941.008666,4263.982819,4522.979796,4853.944569,5235.73159,5634.529392,6050.245919,6465.503985,6294.385308,6433.644244,6611.08491,6699.687801,6699.525442,6802.858113,7081.102336,7347.710693,7606.022279,7866.825981,8242.313996,7963.690754,8641.818899,9502.411281
Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,34889.67131,36393.96369,37923.48646,38185.21967,38912.20974,39257.7619,40093.80734,40989.52682,41646.41464,42098.43122,42063.24012,40368.93151,41156.14519,42037.51874,42315.80739,42846.2842,43635.09548,43596.13554,43536.9134,44325.48834,44917.48373,45113.06628,42366.48714,44234.54214,44910.44173
Chile,CHL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8361.471358,8239.874191,8550.71166,8722.575536,8904.538118,9227.912338,9746.183277,10214.7328,10727.10289,11171.41974,11479.28183,11234.96821,11773.0044,12382.37946,13017.06784,13318.59521,13421.53834,13569.94813,13644.62326,13615.52386,13906.77056,13761.37447,12741.15751,14095.78224,14358.34768
China,CHN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1909.622429,2038.206581,2193.896982,2359.572509,2557.891746,2797.176806,3061.833333,3390.716338,3800.765996,4319.031624,4711.643697,5128.904397,5647.069024,6152.697196,6591.66284,7056.423462,7532.785697,8016.446016,8516.52919,9053.2292,9619.20998,10155.51142,10358.17054,11223.15337,11560.3302
