Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Argentina,ARG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,61.53968561,63.48773052,63.46931344,65.08125733,54.77644565,51.03169425,47.83698829,48.48614593,48.74913337,49.50833078,50.2551922,53.306001,51.49518021,51.81190075,53.65811792,53.91909367,52.94054347,55.81490128,56.12223585,57.34993738,56.36975027,55.43881711,55.29220377,52.50506675,53.02244929
Australia,AUS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,63.62988357,64.38601968,64.40452459,64.20109889,63.99804771,64.31454577,64.29204974,64.376069,63.72614385,64.33789342,64.47899467,64.09260256,65.72084566,64.63868167,65.1707533,66.25163196,65.68759981,67.23283671,68.21774222,67.00558554,66.65177857,66.07815729,66.32595274,65.65115008,62.42794118
Austria,AUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,58.86279371,58.73121872,59.30901534,59.48752858,60.29569645,60.39357126,60.31826678,60.57242618,60.70337865,60.31531249,61.02663208,62.16858104,62.29415785,62.27624367,62.00085522,62.32658311,62.65379327,62.8806356,62.60349078,62.56298193,62.85933477,63.12987899,62.88559218,62.41391114,62.11085513
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,62.6376149,63.41402416,63.05584289,64.16341542,64.6783107,65.31204459,65.24479339,65.87433266,66.14894903,66.05405,66.95736178,68.08687435,67.65763406,67.97273596,68.49910157,68.77188964,69.16114583,69.2286131,69.37556341,69.31069109,69.62726725,69.34728933,69.51754071,68.79611622,68.25745164
Bolivia,BOL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,51.7171694,54.22011738,52.16181966,52.6537766,52.29955206,51.28805477,49.28496949,46.82019694,43.13178499,42.50957194,40.49602365,43.50852618,43.55243055,41.01319173,40.44349194,40.21178175,41.46535066,45.97640028,49.80233245,48.7378534,49.09409569,50.71991512,52.80726175,50.57814859,..
Brazil,BRA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,61.11859304,60.20365663,58.25186125,57.71369225,57.34814547,56.35782814,54.92047111,56.07589161,57.1381272,57.7262362,56.80486177,59.14505921,57.61292198,57.56816932,58.73360251,59.67875799,61.25097401,62.30786718,63.20369583,63.33867286,62.65335035,63.06784925,61.44844465,57.75560887,58.90998713
Bulgaria,BGR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,54.43540935,53.40346276,54.01625891,53.49107333,55.26064208,53.85262004,54.05453377,53.52907146,52.94011189,53.92317204,53.21625177,56.09344935,59.49520309,57.58952856,57.18346602,58.1843325,58.7293538,58.2883826,57.61131474,57.98226624,60.85530823,61.41575976,61.44678942,62.26626732,57.66068355
Canada,CAN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,63.58332828,62.57092598,61.30066732,62.54146881,63.01576544,62.92361298,62.40435898,62.03346575,62.72319311,63.09642128,62.73445421,66.86904248,65.73341913,64.79820615,65.16324113,65.16744128,64.90199745,67.00099777,67.9588533,67.11667206,66.86584615,67.67116348,..,..,..
Chile,CHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,55.12174235,56.23073897,55.60647359,56.19145356,56.35055914,55.68002664,53.64534842,52.1481092,48.41260701,49.54815235,54.44853124,55.51124998,53.81278118,54.36976409,56.29821325,57.22098524,57.15287588,58.34470936,58.98263633,58.27680715,58.00126866,58.81684622,56.29673996,54.42041349,54.25886253
China,CHN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,37.04332902,38.57534809,39.78765517,41.22312631,42.24794475,42.02821619,41.18314017,41.33592592,41.81684191,42.86966501,42.85977979,44.4066672,44.17699192,44.29305673,45.46330539,46.8804015,48.27094049,50.77164515,52.36209096,52.68473653,53.26996792,54.26890427,54.45853587,53.46820543,52.77588829
